Date,"Cat"
2016-09-12,8004
2016-09-13,8274
2016-09-14,7952
2016-09-15,8479
2016-09-16,7480
2016-09-17,7829
2016-09-18,7228
2016-09-19,8035
2016-09-20,8289
2016-09-21,8852
2016-09-22,8552
2016-09-23,8259
2016-09-24,6481
2016-09-25,7308
2016-09-26,8478
2016-09-27,8418
2016-09-28,8785
2016-09-29,8787
2016-09-30,7854
2016-10-01,6716
2016-10-02,20264
2016-10-03,9107
2016-10-04,8904
2016-10-05,8146
2016-10-06,8298
2016-10-07,7519
2016-10-08,6747
2016-10-09,7636
2016-10-10,7876
2016-10-11,8360
2016-10-12,9153
2016-10-13,8827
2016-10-14,8729
2016-10-15,7001
2016-10-16,7551
2016-10-17,8768
2016-10-18,8959
2016-10-19,8618
2016-10-20,8741
2016-10-21,8416
2016-10-22,111903
2016-10-23,7672
2016-10-24,10111
2016-10-25,8796
2016-10-26,8754
2016-10-27,8519
2016-10-28,7959
2016-10-29,7284
2016-10-30,7449
2016-10-31,8153
2016-11-01,8348
2016-11-02,8894
2016-11-03,9272
2016-11-04,8487
2016-11-05,7383
2016-11-06,8264
2016-11-07,9119
2016-11-08,8428
2016-11-09,7738
2016-11-10,8621
2016-11-11,7656
2016-11-12,7221
2016-11-13,8143
2016-11-14,9855
2016-11-15,9696
2016-11-16,9083
2016-11-17,9142
2016-11-18,8416
2016-11-19,7201
2016-11-20,7822
2016-11-21,8555
2016-11-22,8134
2016-11-23,7933
2016-11-24,7952
2016-11-25,6810
2016-11-26,6802
2016-11-27,7306
2016-11-28,8675
2016-11-29,9336
2016-11-30,9062
2016-12-01,8778
2016-12-02,8409
2016-12-03,7092
2016-12-04,8417
2016-12-05,9336
2016-12-06,8692
2016-12-07,8914
2016-12-08,8527
2016-12-09,8753
2016-12-10,7022
2016-12-11,7431
2016-12-12,8023
2016-12-13,8360
2016-12-14,8009
2016-12-15,7495
2016-12-16,6891
2016-12-17,6077
2016-12-18,6848
2016-12-19,7442
2016-12-20,7571
2016-12-21,7074
2016-12-22,6700
2016-12-23,17384
2016-12-24,49942
2016-12-25,6656
2016-12-26,6951
2016-12-27,7170
2016-12-28,6837
2016-12-29,6914
2016-12-30,7337
2016-12-31,6329
2017-01-01,6333
2017-01-02,7564
2017-01-03,8053
2017-01-04,8113
2017-01-05,8119
2017-01-06,7498
2017-01-07,6677
2017-01-08,7319
2017-01-09,8476
2017-01-10,8547
2017-01-11,8292
2017-01-12,8606
2017-01-13,8190
2017-01-14,7235
2017-01-15,7305
2017-01-16,7833
2017-01-17,9160
2017-01-18,9554
2017-01-19,9485
2017-01-20,8089
2017-01-21,6263
2017-01-22,7172
2017-01-23,8122
2017-01-24,8239
2017-01-25,8532
2017-01-26,8731
2017-01-27,7818
2017-01-28,6390
2017-01-29,7003
2017-01-30,8263
2017-01-31,8342
2017-02-01,8553
2017-02-02,8547
2017-02-03,7591
2017-02-04,6808
2017-02-05,7316
2017-02-06,8058
2017-02-07,8468
2017-02-08,8833
2017-02-09,8402
2017-02-10,8821
2017-02-11,8421
2017-02-12,7423
2017-02-13,8282
2017-02-14,8347
2017-02-15,8885
2017-02-16,9104
2017-02-17,8207
2017-02-18,6830
2017-02-19,7324
2017-02-20,7732
2017-02-21,8809
2017-02-22,9044
2017-02-23,8794
2017-02-24,8081
2017-02-25,6670
2017-02-26,12718
2017-02-27,8815
2017-02-28,9009
2017-03-01,8748
2017-03-02,8983
2017-03-03,7763
2017-03-04,7037
2017-03-05,7560
2017-03-06,8717
2017-03-07,8784
2017-03-08,8677
2017-03-09,10612
2017-03-10,8598
2017-03-11,6548
2017-03-12,7353
2017-03-13,11867
2017-03-14,8977
2017-03-15,8646
2017-03-16,9614
